备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
世界赛冠军庆祝活动,2025.11 数码宝贝,1,小额通行证,角色完整皮肤,蓝品（A）,付费,2025/11/18,2025/11/25,,,永久,500,"img_v3_02sb_692f8029-75e4-4e38-9d1c-fbbe6cc96a7g.jpg,img_v3_02sb_50a27f57-b404-4bca-a004-6fbb174f789g.jpg,image.png",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,蓝品（A）角色完整皮肤,
世界赛冠军庆祝活动,2025.11 数码宝贝,1,小额通行证,动作,紫品（A+）,付费,2025/11/18,2025/11/25,,,永久,400,"img_v3_02sb_692f8029-75e4-4e38-9d1c-fbbe6cc96a7g.jpg,img_v3_02sb_50a27f57-b404-4bca-a004-6fbb174f789g.jpg,image.png",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）动作,
世界赛冠军庆祝活动,2025.11 数码宝贝,1,小额通行证,墙皮,紫品（A+）,付费,2025/11/18,2025/11/25,,,永久,400,"img_v3_02sb_692f8029-75e4-4e38-9d1c-fbbe6cc96a7g.jpg,img_v3_02sb_50a27f57-b404-4bca-a004-6fbb174f789g.jpg,image.png",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）墙皮,
数码宝贝活跃活动,2025.11 数码宝贝,1,登录、游玩场次,投掷品武器,橙品（S/SP）,活跃,2025/11/19,2025/11/30,,,永久,150,image.png,2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,橙品（S/SP）投掷品武器,
数码宝贝活跃活动,2025.11 数码宝贝,1,登录、游玩场次,角色皮肤散件,蓝品（A）,活跃,2025/11/19,2025/11/30,,,永久,200,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,蓝品（A）角色皮肤散件,
荣耀意志组合包,2025.11 数码宝贝,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/11/19,2025/11/25,,,永久,2000,img_v3_02sb_ca224bc2-3cce-413d-b182-f5b613f2e17g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色完整皮肤,
荣耀意志组合包,2025.11 数码宝贝,1,代币转盘保底抽奖,枪械皮肤,紫品（A+）,付费,2025/11/19,2025/11/25,,,永久,1000,img_v3_02sb_ca224bc2-3cce-413d-b182-f5b613f2e17g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）枪械皮肤,
数码宝贝活跃活动,2025.11 数码宝贝,12,登录、游玩场次,局内资源,其他,活跃,2025/11/19,2025/11/30,,,永久,0,image.png,2025年年4季度,2025年,2025年11月,,11,其他局内资源,
联动皮肤,2025.11 数码宝贝,1,代币转盘保底抽奖,背包,橙品（S/SP）,付费,2025/11/21,2025/11/30,,,永久,300,img_v3_02sb_233a0c53-10b1-40c7-b6d0-fc997ec956cg.jpg,2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,橙品（S/SP）背包,
联动皮肤,2025.11 数码宝贝,1,代币转盘保底抽奖,枪械皮肤,橙品（S/SP）,付费,2025/11/21,2025/11/30,,,永久,2000,img_v3_02sb_233a0c53-10b1-40c7-b6d0-fc997ec956cg.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）枪械皮肤,
联动皮肤,2025.11 数码宝贝,1,代币转盘保底抽奖,死亡盒子,紫品（A+）,付费,2025/11/21,2025/11/30,,,永久,100,img_v3_02sb_233a0c53-10b1-40c7-b6d0-fc997ec956cg.jpg,2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,紫品（A+）死亡盒子,
数码宝贝活跃活动,2025.11 数码宝贝,5,游玩3、5、15场,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/11/22,2025/11/30,,,限时,40,img_v3_02sb_fff40330-51be-4048-8c40-99be234816cg.jpg,2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他（橙色）常驻3合1抽奖池--抽奖券,
数码宝贝活跃活动,2025.11 数码宝贝,1,游玩3、5、15场,角色皮肤散件,紫品（A+）,活跃,2025/11/22,2025/11/30,,,永久,400,img_v3_02sb_fff40330-51be-4048-8c40-99be234816cg.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）角色皮肤散件,
数码宝贝活跃活动,2025.11 数码宝贝,2,游玩3、5、15场,武器抽奖宝箱,其他,活跃,2025/11/22,2025/11/30,,,永久,40,img_v3_02sb_fff40330-51be-4048-8c40-99be234816cg.jpg,2025年年4季度,2025年,2025年11月,盲盒类资源,11,其他武器抽奖宝箱,
数码宝贝活跃活动,2025.11 数码宝贝,2,游玩3、5、15场,皮肤抽奖宝箱,其他,活跃,2025/11/22,2025/11/30,,,永久,40,img_v3_02sb_fff40330-51be-4048-8c40-99be234816cg.jpg,2025年年4季度,2025年,2025年11月,盲盒类资源,11,其他皮肤抽奖宝箱,
监狱系列皮肤活跃活动,2025.11 监狱系列,1,游玩、登录、击杀,角色完整皮肤,紫品（A+）,活跃,2025/11/24,2025/12/07,,,永久,1000,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）角色完整皮肤,
监狱系列皮肤活跃活动,2025.11 监狱系列,1,游玩、登录、击杀,角色完整皮肤,紫品（A+）,活跃,2025/11/24,2025/12/07,,,永久,1000,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）角色完整皮肤,
监狱系列皮肤活跃活动,2025.11 监狱系列,1,游玩、登录、击杀,近战武器皮肤,紫品（A+）,活跃,2025/11/24,2025/12/07,,,永久,400,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）近战武器皮肤,
监狱系列皮肤活跃活动,2025.11 监狱系列,3,游玩、登录、击杀,常驻网页活跃活动--抽奖代币,其他,活跃,2025/11/24,2025/12/07,,,永久,40,image.png,2025年年4季度,2025年,2025年11月,盲盒类资源,11,其他常驻网页活跃活动--抽奖代币,
监狱系列武器皮肤活跃活动,2025.11 监狱系列,1,游玩、登录、击杀,常驻网页活跃活动--抽奖代币,其他,活跃,2025/11/26,2025/12/06,,,永久,40,image.png,2025年年4季度,2025年,2025年11月,盲盒类资源,11,其他常驻网页活跃活动--抽奖代币,
监狱系列武器皮肤活跃活动,2025.11 监狱系列,1,游玩、登录、击杀,枪械皮肤,蓝品（A）,活跃,2025/11/26,2025/12/06,,,永久,500,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,蓝品（A）枪械皮肤,
最喜爱KOL投票活动,2025.11 监狱系列,6,游玩、登录、击杀、吃鸡,常驻网页活跃活动--抽奖代币,其他,活跃,2025/11/26,2025/12/06,,,永久,40,image.png,2025年年4季度,2025年,2025年11月,盲盒类资源,11,其他常驻网页活跃活动--抽奖代币,
监狱系列武器皮肤活跃活动,2025.11 监狱系列,12,游玩、登录、击杀,局内资源,其他,活跃,2025/11/26,2025/12/06,,,永久,0,image.png,2025年年4季度,2025年,2025年11月,,11,其他局内资源,
金狗贝尔皮肤抽奖,2025.11 监狱系列,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/11/28,2025/12/11,,,永久,2000,img_v3_02si_b30ed183-be69-4aae-b129-581a2f7559fg.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色完整皮肤,
金狗贝尔皮肤抽奖,2025.11 监狱系列,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/11/28,2025/12/11,,,永久,2000,img_v3_02si_b30ed183-be69-4aae-b129-581a2f7559fg.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色完整皮肤,
累充,2025.11 监狱系列,10,充140钻,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/11/29,2025/12/06,,,限时,40,image.png,2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他（橙色）常驻3合1抽奖池--抽奖券,
累充,2025.11 监狱系列,1,充70钻,近战武器皮肤,橙品（S/SP）,付费,2025/11/29,2025/12/06,,,永久,500,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）近战武器皮肤,
累充,2025.11 监狱系列,12,充12钻,钻石,其他,付费,2025/11/29,2025/12/06,,,永久,1,image.png,2025年年4季度,2025年,2025年11月,,11,其他钻石,
金狗贝尔动作,2025.11 监狱系列,1,莫科商店抽一少一保底抽奖,动作,橙品（S/SP）,付费,2025/12/01,2025/12/07,,,永久,500,img_v3_02si_ac0758e7-f21e-4d9d-89aa-9f3f8208e3dg.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,橙品（S/SP）动作,
金狗贝尔动作,2025.11 监狱系列,1,莫科商店抽一少一保底抽奖,动作,紫品（A+）,付费,2025/12/01,2025/12/07,,,永久,400,img_v3_02si_ac0758e7-f21e-4d9d-89aa-9f3f8208e3dg.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）动作,
网络操作员系列皮肤,2025.11 监狱系列,1,抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/12/02,2025/12/08,,,永久,1000,"img_v3_02sp_891af233-284b-40a7-bd27-17588ce9c49g.jpg,img_v3_02sp_15d61f1b-c794-41f3-863c-77042368835g.jpg",2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色完整皮肤,
网络操作员系列皮肤,2025.11 监狱系列,1,抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/12/02,2025/12/08,,,永久,1000,"img_v3_02sp_891af233-284b-40a7-bd27-17588ce9c49g.jpg,img_v3_02sp_15d61f1b-c794-41f3-863c-77042368835g.jpg",2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色完整皮肤,
网络操作员系列皮肤,2025.11 监狱系列,1,抽一少一保底抽奖,死亡盒子,紫品（A+）,付费,2025/12/02,2025/12/08,,,永久,100,"img_v3_02sp_891af233-284b-40a7-bd27-17588ce9c49g.jpg,img_v3_02sp_15d61f1b-c794-41f3-863c-77042368835g.jpg",2025年年4季度,2025年,2025年12月,局内--中低价值外显资源,12,紫品（A+）死亡盒子,
网络操作员系列皮肤,2025.11 监狱系列,1,抽一少一保底抽奖,背包,紫品（A+）,付费,2025/12/02,2025/12/08,,,永久,200,"img_v3_02sp_891af233-284b-40a7-bd27-17588ce9c49g.jpg,img_v3_02sp_15d61f1b-c794-41f3-863c-77042368835g.jpg",2025年年4季度,2025年,2025年12月,局内--中低价值外显资源,12,紫品（A+）背包,
黄金神拳武器皮肤,2025.11 监狱系列,1,代币转盘保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/12/03,2025/12/09,,,永久,500,img_v3_02sp_e7fc280f-5c43-401d-a687-0de88338e6cg.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,橙品（S/SP）近战武器皮肤,
钢铁武士组合包,2025.11 监狱系列,1,必中轮盘抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/12/05,2025/12/18,,,永久,1000,img_v3_02sp_3d02414f-54b5-4034-9485-22adb122ea4g.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色完整皮肤,
脸部纹饰图案获取,2025.11 监狱系列,1,游玩场次,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/12/06,2025/12/07,,,限时,40,image.png,2025年年4季度,2025年,2025年12月,抽奖券类资源,12,其他（橙色）常驻3合1抽奖池--抽奖券,
累充,2025.11 监狱系列,10,充140钻,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/12/06,2025/12/13,,,限时,40,img_v3_02sp_684065fb-2fa3-47f9-ab29-2dc07f55a78g.jpg,2025年年4季度,2025年,2025年12月,抽奖券类资源,12,其他（橙色）常驻3合1抽奖池--抽奖券,
脸部纹饰图案获取,2025.11 监狱系列,1,游玩场次,角色皮肤散件,紫品（A+）,活跃,2025/12/06,2025/12/07,,,永久,400,image.png,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色皮肤散件,
累充,2025.11 监狱系列,1,充70钻,死亡盒子,橙品（S/SP）,付费,2025/12/06,2025/12/13,,,永久,150,img_v3_02sp_684065fb-2fa3-47f9-ab29-2dc07f55a78g.jpg,2025年年4季度,2025年,2025年12月,局内--中低价值外显资源,12,橙品（S/SP）死亡盒子,
脸部纹饰图案获取,2025.11 监狱系列,3,游玩场次,常驻网页活跃活动--抽奖代币,其他,活跃,2025/12/06,2025/12/07,,,永久,40,image.png,2025年年4季度,2025年,2025年12月,盲盒类资源,12,其他常驻网页活跃活动--抽奖代币,
累充,2025.11 监狱系列,12,充12钻,钻石,其他,付费,2025/12/06,2025/12/13,,,永久,1,img_v3_02sp_684065fb-2fa3-47f9-ab29-2dc07f55a78g.jpg,2025年年4季度,2025年,2025年12月,,12,其他钻石,
旋转抽奖活跃活动,2025.11 监狱系列,1,游玩、登录、吃鸡,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/12/08,2025/12/31,,,限时,40,image.png,2025年年4季度,2025年,2025年12月,抽奖券类资源,12,其他（橙色）常驻3合1抽奖池--抽奖券,
旋转抽奖活跃活动,2025.11 监狱系列,1,游玩、登录、吃鸡,头像,紫品（A+）,活跃,2025/12/08,2025/12/31,,,永久,0,image.png,2025年年4季度,2025年,2025年12月,局外社交外显资源,12,紫品（A+）头像,
旋转抽奖活跃活动,2025.11 监狱系列,1,游玩、登录、吃鸡,飞行器,紫品（A+）,活跃,2025/12/08,2025/12/31,,,永久,400,image.png,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）飞行器,
旋转抽奖活跃活动,2025.11 监狱系列,1,游玩、登录、吃鸡,常驻网页活跃活动--抽奖代币,其他,活跃,2025/12/08,2025/12/31,,,永久,40,image.png,2025年年4季度,2025年,2025年12月,盲盒类资源,12,其他常驻网页活跃活动--抽奖代币,
旋转抽奖活跃活动,2025.11 监狱系列,1,游玩、登录、吃鸡,角色完整皮肤,紫品（A+）,活跃,2025/12/08,2025/12/31,,,永久,1000,image.png,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色完整皮肤,
滑板旋转动作,2025.11 监狱系列,1,必中轮盘抽一少一保底抽奖,动作,橙品（S/SP）,付费,2025/12/08,2025/12/14,,,永久,500,img_v3_02t0_55c805e3-36af-4574-8b22-22354830729g.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,橙品（S/SP）动作,
活跃活动--游玩场次,2025.11 监狱系列,3,游玩2、5、10场,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/12/10,2025/12/17,,,限时,40,image.png,2025年年4季度,2025年,2025年12月,抽奖券类资源,12,其他（橙色）常驻3合1抽奖池--抽奖券,
活跃活动--游玩场次,2025.11 监狱系列,1,游玩2、5、10场,近战武器皮肤,紫品（A+）,活跃,2025/12/10,2025/12/17,,,永久,400,image.png,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）近战武器皮肤,
毁梦者,2025.11 监狱系列,1,代币转盘保底抽奖,枪械皮肤,红品（S+）,付费,2025/12/10,2026/01/11,,,永久,2400,img_v3_02t0_5e48d62d-bf4b-4fe0-977e-b142425376eg.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,红品（S+）枪械皮肤,
活跃活动--游玩场次,2025.11 监狱系列,3,游玩2、5、10场,常驻网页活跃活动--抽奖代币,其他,活跃,2025/12/10,2025/12/17,,,永久,40,image.png,2025年年4季度,2025年,2025年12月,盲盒类资源,12,其他常驻网页活跃活动--抽奖代币,
组队累充,2025.11 监狱系列,10,组队5人,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/12/12,2025/12/31,,,限时,40,img_v3_02t0_4a543167-b208-401c-87fd-1868087ec3bg.jpg,2025年年4季度,2025年,2025年12月,抽奖券类资源,12,其他（橙色）常驻3合1抽奖池--抽奖券,
冰雪节主活跃活动,2025.12 冰雪节,1,游玩、登录、好友同玩,角色完整皮肤,紫品（A+）,活跃,2025/12/12,2025/12/31,,,永久,1000,image.png,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色完整皮肤,
冰雪节主活跃活动,2025.12 冰雪节,1,游玩、登录、好友同玩,枪械皮肤,紫品（A+）,活跃,2025/12/12,2025/12/31,,,永久,1000,image.png,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）枪械皮肤,
组队累充,2025.12 冰雪节,1,组队3人,墙皮,紫品（A+）,付费,2025/12/12,2025/12/31,,,永久,400,img_v3_02t0_4a543167-b208-401c-87fd-1868087ec3bg.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）墙皮,
冰雪节主活跃活动,2025.12 冰雪节,2,游玩、登录、好友同玩,语音包,紫品（A+）,活跃,2025/12/12,2025/12/31,,,永久,0,image.png,2025年年4季度,2025年,2025年12月,局外社交外显资源,12,紫品（A+）语音包,
组队累充,2025.12 冰雪节,100,组队4人,钻石,其他,付费,2025/12/12,2025/12/31,,,永久,1,img_v3_02t0_4a543167-b208-401c-87fd-1868087ec3bg.jpg,2025年年4季度,2025年,2025年12月,,12,其他钻石,
累充,2025.12 冰雪节,10,充140钻,当期限时抽奖活动--抽奖券,其他,付费,2025/12/13,2025/12/20,,,限时,8,img_v3_02t0_afdabd2c-fdbd-43a5-9922-d58a80e4f40g.jpg,2025年年4季度,2025年,2025年12月,抽奖券类资源,12,其他当期限时抽奖活动--抽奖券,
累充,2025.12 冰雪节,1,充70钻,载具,橙品（S/SP）,付费,2025/12/13,2025/12/20,,,永久,500,img_v3_02t0_afdabd2c-fdbd-43a5-9922-d58a80e4f40g.jpg,2025年年4季度,2025年,2025年12月,局内--中低价值外显资源,12,橙品（S/SP）载具,
玫瑰帮主组合包,2025.12 冰雪节,1,必中轮盘抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/12/13,2025/12/19,,,永久,1000,img_v3_02t0_3a7bedd3-44c7-4557-820b-db44ee121acg.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色完整皮肤,
玫瑰帮主组合包,2025.12 冰雪节,1,必中轮盘抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/12/13,2025/12/19,,,永久,1000,img_v3_02t0_3a7bedd3-44c7-4557-820b-db44ee121acg.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）角色完整皮肤,
累充,2025.12 冰雪节,12,充12钻,钻石,其他,付费,2025/12/13,2025/12/20,,,永久,1,img_v3_02t0_afdabd2c-fdbd-43a5-9922-d58a80e4f40g.jpg,2025年年4季度,2025年,2025年12月,,12,其他钻石,
冰雪节活跃活动,2025.12 冰雪节,1,登录、游玩、击杀,常驻网页活跃活动--抽奖代币,其他,活跃,2025/12/15,2025/12/31,,,永久,40,image.png,2025年年4季度,2025年,2025年12月,盲盒类资源,12,其他常驻网页活跃活动--抽奖代币,
冰雪节活跃活动,2025.12 冰雪节,1,登录、游玩、击杀,动作,蓝品（A）,活跃,2025/12/15,2025/12/31,,,永久,300,image.png,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,蓝品（A）动作,
冰雪节--礼物幻境动作,2025.12 冰雪节,1,代币转盘保底抽奖,动作,红品（S+）,付费,2025/12/15,2025/12/28,,,永久,1000,img_v3_02t0_f8a40c5b-7909-44f0-b626-5cc9e2bcd84g.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,红品（S+）动作,
冰雪节--礼物幻境动作,2025.12 冰雪节,1,代币转盘保底抽奖,背包,红品（S+）,付费,2025/12/15,2025/12/28,,,永久,500,img_v3_02t0_f8a40c5b-7909-44f0-b626-5cc9e2bcd84g.jpg,2025年年4季度,2025年,2025年12月,局内--中低价值外显资源,12,红品（S+）背包,
冰雪节活跃活动,2025.12 冰雪节,2,登录、游玩、击杀,金币抽奖盒,其他,活跃,2025/12/15,2025/12/31,,,永久,0,image.png,2025年年4季度,2025年,2025年12月,,12,其他金币抽奖盒,
圣诞珠光枪皮,2025.12 冰雪节,1,必中轮盘抽一少一保底抽奖,枪械皮肤,紫品（A+）,付费,2025/12/17,2025/12/23,,,永久,1000,img_v3_02t7_9104d376-a817-433a-a18a-9990ad9ea55g.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）枪械皮肤,
圣诞珠光枪皮,2025.12 冰雪节,1,必中轮盘抽一少一保底抽奖,枪械皮肤,紫品（A+）,付费,2025/12/17,2025/12/23,,,永久,1000,img_v3_02t7_9104d376-a817-433a-a18a-9990ad9ea55g.jpg,2025年年4季度,2025年,2025年12月,局内--高价值外显资源,12,紫品（A+）枪械皮肤,
累充,2025.12 冰雪节,15,充140钻,当期限时抽奖活动--抽奖券,其他,付费,2025/12/20,2025/12/27,,,限时,8,img_v3_02t7_96842a1b-7d9c-4e4a-9986-873575ea374g.jpg,2025年年4季度,2025年,2025年12月,抽奖券类资源,12,其他当期限时抽奖活动--抽奖券,
累充,2025.12 冰雪节,1,充70钻,死亡盒子,橙品（S/SP）,付费,2025/12/20,2025/12/27,,,永久,150,img_v3_02t7_96842a1b-7d9c-4e4a-9986-873575ea374g.jpg,2025年年4季度,2025年,2025年12月,局内--中低价值外显资源,12,橙品（S/SP）死亡盒子,
